platform,variant,dataset_rows,iteration,wcss
rpi5,seq,100000,1,256.05380078917142
rpi5,seq,100000,2,232.49675009195744
rpi5,seq,100000,3,190.52723254406547
rpi5,seq,100000,4,186.24422688772975
rpi5,seq,100000,5,175.49372214542078
rpi5,seq,100000,6,166.37024450015795
rpi5,seq,100000,7,162.87693198960076
rpi5,seq,100000,8,161.61854529597525
rpi5,seq,100000,9,161.30237008167254
rpi5,seq,100000,10,161.19635869191785
rpi5,seq,100000,11,161.07593105349221
rpi5,seq,100000,12,160.80083731229632
rpi5,seq,100000,13,160.26421940388957
rpi5,seq,100000,14,158.60842475962625
rpi5,seq,100000,15,156.81056921575831
rpi5,seq,100000,16,156.51385892456443
rpi5,seq,100000,17,156.49274663279414
rpi5,seq,100000,18,156.48529909687471
rpi5,seq,100000,19,156.48145891119725
rpi5,seq,100000,20,156.47971229674411
rpi5,seq,100000,21,156.47886136193387
rpi5,seq,100000,22,156.47844358588983
rpi5,seq,100000,23,156.478257162603
rpi5,seq,100000,24,156.47811250726932
rpi5,seq,100000,25,156.47802058404142
rpi5,seq,100000,26,156.47798474833206
rpi5,seq,100000,27,156.47796638401303
rpi5,seq,100000,28,156.47795782219896
rpi5,seq,100000,29,156.47795509368052
rpi5,seq,100000,30,156.47795470604012
rpi5,seq,100000,31,156.47795462815475
rpi5,seq,100000,32,156.47795462815475
rpi5,seq,100000,33,156.47795462815475
rpi5,seq,100000,34,156.47795462815475
rpi5,seq,100000,35,156.47795462815475
rpi5,seq,100000,36,156.47795462815475
rpi5,seq,100000,37,156.47795462815475
rpi5,seq,100000,38,156.47795462815475
rpi5,seq,100000,39,156.47795462815475
rpi5,seq,100000,40,156.47795462815475
rpi5,seq,100000,41,156.47795462815475
rpi5,seq,100000,42,156.47795462815475
rpi5,seq,100000,43,156.47795462815475
rpi5,seq,100000,44,156.47795462815475
rpi5,seq,100000,45,156.47795462815475
rpi5,seq,100000,46,156.47795462815475
rpi5,seq,100000,47,156.47795462815475
rpi5,seq,100000,48,156.47795462815475
rpi5,seq,100000,49,156.47795462815475
rpi5,seq,100000,50,156.47795462815475
rpi5,seq,100000,51,156.47795462815475
rpi5,seq,100000,52,156.47795462815475
rpi5,seq,100000,53,156.47795462815475
rpi5,seq,100000,54,156.47795462815475
rpi5,seq,100000,55,156.47795462815475
rpi5,seq,100000,56,156.47795462815475
rpi5,seq,100000,57,156.47795462815475
rpi5,seq,100000,58,156.47795462815475
rpi5,seq,100000,59,156.47795462815475
rpi5,seq,100000,60,156.47795462815475
rpi5,seq,100000,61,156.47795462815475
rpi5,seq,100000,62,156.47795462815475
rpi5,seq,100000,63,156.47795462815475
rpi5,seq,100000,64,156.47795462815475
rpi5,seq,100000,65,156.47795462815475
rpi5,seq,100000,66,156.47795462815475
rpi5,seq,100000,67,156.47795462815475
rpi5,seq,100000,68,156.47795462815475
rpi5,seq,100000,69,156.47795462815475
rpi5,seq,100000,70,156.47795462815475
rpi5,seq,100000,71,156.47795462815475
rpi5,seq,100000,72,156.47795462815475
rpi5,seq,100000,73,156.47795462815475
rpi5,seq,100000,74,156.47795462815475
rpi5,seq,100000,75,156.47795462815475
rpi5,seq,100000,76,156.47795462815475
rpi5,seq,100000,77,156.47795462815475
rpi5,seq,100000,78,156.47795462815475
rpi5,seq,100000,79,156.47795462815475
rpi5,seq,100000,80,156.47795462815475
rpi5,seq,100000,81,156.47795462815475
rpi5,seq,100000,82,156.47795462815475
rpi5,seq,100000,83,156.47795462815475
rpi5,seq,100000,84,156.47795462815475
rpi5,seq,100000,85,156.47795462815475
rpi5,seq,100000,86,156.47795462815475
rpi5,seq,100000,87,156.47795462815475
rpi5,seq,100000,88,156.47795462815475
rpi5,seq,100000,89,156.47795462815475
rpi5,seq,100000,90,156.47795462815475
rpi5,seq,100000,91,156.47795462815475
rpi5,seq,100000,92,156.47795462815475
rpi5,seq,100000,93,156.47795462815475
rpi5,seq,100000,94,156.47795462815475
rpi5,seq,100000,95,156.47795462815475
rpi5,seq,100000,96,156.47795462815475
rpi5,seq,100000,97,156.47795462815475
rpi5,seq,100000,98,156.47795462815475
rpi5,seq,100000,99,156.47795462815475
rpi5,seq,100000,100,156.47795462815475
rtx4070ti,cuda,100000,1,256.05380078917011
rtx4070ti,cuda,100000,2,232.49675009195639
rtx4070ti,cuda,100000,3,190.52723254406709
rtx4070ti,cuda,100000,4,186.24422688772873
rtx4070ti,cuda,100000,5,175.49372214542061
rtx4070ti,cuda,100000,6,166.37024450015915
rtx4070ti,cuda,100000,7,162.87693198959957
rtx4070ti,cuda,100000,8,161.61854529597497
rtx4070ti,cuda,100000,9,161.30237008167194
rtx4070ti,cuda,100000,10,161.19635869191964
rtx4070ti,cuda,100000,11,161.07593105348943
rtx4070ti,cuda,100000,12,160.80083731229777
rtx4070ti,cuda,100000,13,160.26421940388963
rtx4070ti,cuda,100000,14,158.60842475962696
rtx4070ti,cuda,100000,15,156.8105692157574
rtx4070ti,cuda,100000,16,156.51385892456474
rtx4070ti,cuda,100000,17,156.49274663279544
rtx4070ti,cuda,100000,18,156.48529909687468
rtx4070ti,cuda,100000,19,156.48145891119722
rtx4070ti,cuda,100000,20,156.47971229674442
rtx4070ti,cuda,100000,21,156.47886136193242
rtx4070ti,cuda,100000,22,156.47844358589103
rtx4070ti,cuda,100000,23,156.47825716260496
rtx4070ti,cuda,100000,24,156.47811250726878
rtx4070ti,cuda,100000,25,156.4780205840419
rtx4070ti,cuda,100000,26,156.47798474833246
rtx4070ti,cuda,100000,27,156.4779663840097
rtx4070ti,cuda,100000,28,156.47795782219924
rtx4070ti,cuda,100000,29,156.47795509368237
rtx4070ti,cuda,100000,30,156.4779547060397
rtx4070ti,cuda,100000,31,156.47795462815367
rtx4070ti,cuda,100000,32,156.47795462815358
rtx4070ti,cuda,100000,33,156.47795462815361
rtx4070ti,cuda,100000,34,156.47795462815353
rtx4070ti,cuda,100000,35,156.47795462815353
rtx4070ti,cuda,100000,36,156.47795462815355
rtx4070ti,cuda,100000,37,156.4779546281535
rtx4070ti,cuda,100000,38,156.4779546281535
rtx4070ti,cuda,100000,39,156.47795462815358
rtx4070ti,cuda,100000,40,156.47795462815364
rtx4070ti,cuda,100000,41,156.47795462815367
rtx4070ti,cuda,100000,42,156.47795462815358
rtx4070ti,cuda,100000,43,156.4779546281535
rtx4070ti,cuda,100000,44,156.47795462815358
rtx4070ti,cuda,100000,45,156.47795462815358
rtx4070ti,cuda,100000,46,156.47795462815361
rtx4070ti,cuda,100000,47,156.47795462815353
rtx4070ti,cuda,100000,48,156.47795462815367
rtx4070ti,cuda,100000,49,156.47795462815361
rtx4070ti,cuda,100000,50,156.47795462815353
rtx4070ti,cuda,100000,51,156.47795462815361
rtx4070ti,cuda,100000,52,156.4779546281535
rtx4070ti,cuda,100000,53,156.47795462815347
rtx4070ti,cuda,100000,54,156.4779546281535
rtx4070ti,cuda,100000,55,156.47795462815355
rtx4070ti,cuda,100000,56,156.47795462815347
rtx4070ti,cuda,100000,57,156.4779546281535
rtx4070ti,cuda,100000,58,156.47795462815361
rtx4070ti,cuda,100000,59,156.47795462815367
rtx4070ti,cuda,100000,60,156.47795462815353
rtx4070ti,cuda,100000,61,156.47795462815344
rtx4070ti,cuda,100000,62,156.47795462815358
rtx4070ti,cuda,100000,63,156.47795462815364
rtx4070ti,cuda,100000,64,156.47795462815347
rtx4070ti,cuda,100000,65,156.47795462815355
rtx4070ti,cuda,100000,66,156.4779546281535
rtx4070ti,cuda,100000,67,156.47795462815353
rtx4070ti,cuda,100000,68,156.47795462815355
rtx4070ti,cuda,100000,69,156.47795462815361
rtx4070ti,cuda,100000,70,156.47795462815364
rtx4070ti,cuda,100000,71,156.47795462815361
rtx4070ti,cuda,100000,72,156.47795462815358
rtx4070ti,cuda,100000,73,156.47795462815358
rtx4070ti,cuda,100000,74,156.47795462815355
rtx4070ti,cuda,100000,75,156.47795462815355
rtx4070ti,cuda,100000,76,156.47795462815367
rtx4070ti,cuda,100000,77,156.47795462815358
rtx4070ti,cuda,100000,78,156.47795462815358
rtx4070ti,cuda,100000,79,156.47795462815355
rtx4070ti,cuda,100000,80,156.47795462815361
rtx4070ti,cuda,100000,81,156.47795462815364
rtx4070ti,cuda,100000,82,156.4779546281537
rtx4070ti,cuda,100000,83,156.47795462815355
rtx4070ti,cuda,100000,84,156.47795462815358
rtx4070ti,cuda,100000,85,156.47795462815355
rtx4070ti,cuda,100000,86,156.47795462815355
rtx4070ti,cuda,100000,87,156.47795462815364
rtx4070ti,cuda,100000,88,156.47795462815353
rtx4070ti,cuda,100000,89,156.47795462815358
rtx4070ti,cuda,100000,90,156.47795462815358
rtx4070ti,cuda,100000,91,156.47795462815353
rtx4070ti,cuda,100000,92,156.47795462815353
rtx4070ti,cuda,100000,93,156.47795462815361
rtx4070ti,cuda,100000,94,156.47795462815355
rtx4070ti,cuda,100000,95,156.47795462815344
rtx4070ti,cuda,100000,96,156.4779546281535
rtx4070ti,cuda,100000,97,156.47795462815347
rtx4070ti,cuda,100000,98,156.47795462815364
rtx4070ti,cuda,100000,99,156.47795462815364
rtx4070ti,cuda,100000,100,156.47795462815353
jetson,hybrid,100000,1,256.05380078917005
jetson,hybrid,100000,2,232.4967500919563
jetson,hybrid,100000,3,190.52723254406712
jetson,hybrid,100000,4,186.24422688772867
jetson,hybrid,100000,5,175.49372214542072
jetson,hybrid,100000,6,166.370244500159
jetson,hybrid,100000,7,162.87693198959951
jetson,hybrid,100000,8,161.618545295975
jetson,hybrid,100000,9,161.30237008167205
jetson,hybrid,100000,10,161.1963586919197
jetson,hybrid,100000,11,161.07593105348937
jetson,hybrid,100000,12,160.80083731229774
jetson,hybrid,100000,13,160.26421940388963
jetson,hybrid,100000,14,158.60842475962684
jetson,hybrid,100000,15,156.8105692157574
jetson,hybrid,100000,16,156.51385892456474
jetson,hybrid,100000,17,156.49274663279542
jetson,hybrid,100000,18,156.48529909687483
jetson,hybrid,100000,19,156.48145891119714
jetson,hybrid,100000,20,156.47971229674442
jetson,hybrid,100000,21,156.47886136193256
jetson,hybrid,100000,22,156.47844358589091
jetson,hybrid,100000,23,156.47825716260505
jetson,hybrid,100000,24,156.47811250726872
jetson,hybrid,100000,25,156.47802058404196
jetson,hybrid,100000,26,156.47798474833249
jetson,hybrid,100000,27,156.47796638400973
jetson,hybrid,100000,28,156.47795782219919
jetson,hybrid,100000,29,156.4779550936824
jetson,hybrid,100000,30,156.47795470603972
jetson,hybrid,100000,31,156.47795462815358
jetson,hybrid,100000,32,156.47795462815358
jetson,hybrid,100000,33,156.47795462815358
jetson,hybrid,100000,34,156.47795462815358
jetson,hybrid,100000,35,156.47795462815358
jetson,hybrid,100000,36,156.47795462815358
jetson,hybrid,100000,37,156.47795462815358
jetson,hybrid,100000,38,156.47795462815358
jetson,hybrid,100000,39,156.47795462815358
jetson,hybrid,100000,40,156.47795462815358
jetson,hybrid,100000,41,156.47795462815358
jetson,hybrid,100000,42,156.47795462815358
jetson,hybrid,100000,43,156.47795462815358
jetson,hybrid,100000,44,156.47795462815358
jetson,hybrid,100000,45,156.47795462815361
jetson,hybrid,100000,46,156.47795462815358
jetson,hybrid,100000,47,156.47795462815358
jetson,hybrid,100000,48,156.47795462815358
jetson,hybrid,100000,49,156.47795462815361
jetson,hybrid,100000,50,156.47795462815358
jetson,hybrid,100000,51,156.47795462815358
jetson,hybrid,100000,52,156.47795462815358
jetson,hybrid,100000,53,156.47795462815358
jetson,hybrid,100000,54,156.47795462815358
jetson,hybrid,100000,55,156.47795462815358
jetson,hybrid,100000,56,156.47795462815358
jetson,hybrid,100000,57,156.47795462815358
jetson,hybrid,100000,58,156.47795462815358
jetson,hybrid,100000,59,156.47795462815358
jetson,hybrid,100000,60,156.47795462815358
jetson,hybrid,100000,61,156.47795462815358
jetson,hybrid,100000,62,156.47795462815358
jetson,hybrid,100000,63,156.47795462815358
jetson,hybrid,100000,64,156.47795462815358
jetson,hybrid,100000,65,156.47795462815358
jetson,hybrid,100000,66,156.47795462815361
jetson,hybrid,100000,67,156.47795462815361
jetson,hybrid,100000,68,156.47795462815361
jetson,hybrid,100000,69,156.47795462815361
jetson,hybrid,100000,70,156.47795462815358
jetson,hybrid,100000,71,156.47795462815358
jetson,hybrid,100000,72,156.47795462815358
jetson,hybrid,100000,73,156.47795462815358
jetson,hybrid,100000,74,156.47795462815358
jetson,hybrid,100000,75,156.47795462815358
jetson,hybrid,100000,76,156.47795462815358
jetson,hybrid,100000,77,156.47795462815358
jetson,hybrid,100000,78,156.47795462815358
jetson,hybrid,100000,79,156.47795462815358
jetson,hybrid,100000,80,156.47795462815358
jetson,hybrid,100000,81,156.47795462815358
jetson,hybrid,100000,82,156.47795462815358
jetson,hybrid,100000,83,156.47795462815358
jetson,hybrid,100000,84,156.47795462815358
jetson,hybrid,100000,85,156.47795462815358
jetson,hybrid,100000,86,156.47795462815358
jetson,hybrid,100000,87,156.47795462815358
jetson,hybrid,100000,88,156.47795462815358
jetson,hybrid,100000,89,156.47795462815358
jetson,hybrid,100000,90,156.47795462815358
jetson,hybrid,100000,91,156.47795462815358
jetson,hybrid,100000,92,156.47795462815358
jetson,hybrid,100000,93,156.47795462815358
jetson,hybrid,100000,94,156.47795462815358
jetson,hybrid,100000,95,156.47795462815358
jetson,hybrid,100000,96,156.47795462815358
jetson,hybrid,100000,97,156.47795462815358
jetson,hybrid,100000,98,156.47795462815358
jetson,hybrid,100000,99,156.47795462815361
jetson,hybrid,100000,100,156.47795462815358
